Order Name,Created at,Financial Status,Brand,Product,SKU,Quantity,Unit Price,Discount,Discount Pct,Line Total
#SHF1001,2025-11-02 01:10:51,paid,FNOS,Sandal cao gót 7cm,FNO-7259,1,527000,131750,25,395250
#SHF1001,2025-11-02 01:10:51,paid,FNOS,Dép quai hậu EVA,FNO-2214,2,618000,0,0,1236000
#SHF1001,2025-11-02 01:10:51,paid,FNOS,Dép quai hậu EVA,FNO-2214,1,592000,118400,20,473600
#SHF1002,2025-11-02 07:42:06,paid,HIGHCHIC,Áo blouse lụa tay dài,HIG-9554,2,703000,0,0,1406000
#SHF1003,2025-11-04 03:38:25,paid,PARADOX,Hoodie unisex grey,PAR-3561,3,690000,103500,5,1966500
#SHF1003,2025-11-04 03:38:25,paid,CAOSTU,Áo thun basic cổ tròn,CAO-1134,1,346000,0,0,346000
#SHF1003,2025-11-04 03:38:25,paid,PARADOX,Bomber jacket olive,PAR-4071,1,741000,0,0,741000
#SHF1004,2025-11-04 21:51:55,refunded,FNOS,Sandal cao gót 7cm,FNO-7259,1,622000,0,0,622000
#SHF1004,2025-11-04 21:51:55,refunded,CAOSTU,Áo thun basic cổ tròn,CAO-1134,1,193000,0,0,193000
#SHF1004,2025-11-04 21:51:55,refunded,CAOSTU,Quần jogger cotton,CAO-1847,1,311000,0,0,311000
#SHF1005,2025-11-05 19:54:40,paid,IAMSAIGON,Móc khóa thêu HCM,IAM-8897,2,311000,0,0,622000
#SHF1005,2025-11-05 19:54:40,paid,CAOSTU,Quần short thể thao,CAO-4049,3,324000,48600,5,923400
#SHF1006,2025-11-06 23:19:01,paid,FNOS,Sandal cao gót 7cm,FNO-7259,1,780000,0,0,780000
#SHF1006,2025-11-06 23:19:01,paid,IAMSAIGON,Vòng tay dệt,IAM-8439,3,236000,35400,5,672600
#SHF1007,2025-11-07 12:48:41,paid,HIGHCHIC,Đầm bodycon ôm dáng,HIG-7418,2,357000,0,0,714000
#SHF1007,2025-11-07 12:48:41,paid,PARADOX,Quần wide-leg đen,PAR-3642,1,473000,0,0,473000
#SHF1008,2025-11-08 00:12:16,paid,IAMSAIGON,Vòng tay dệt,IAM-8439,1,292000,0,0,292000
#SHF1008,2025-11-08 00:12:16,paid,FNOS,Sneaker trắng basic,FNO-2184,3,446000,0,0,1338000
#SHF1008,2025-11-08 00:12:16,paid,HIGHCHIC,Áo croptop basic,HIG-7529,3,750000,0,0,2250000
#SHF1009,2025-11-08 17:56:04,paid,HIGHCHIC,Áo blouse lụa tay dài,HIG-9554,3,1299000,194850,5,3702150
#SHF1010,2025-11-09 14:14:11,paid,FNOS,Sneaker trắng basic,FNO-2184,2,527000,105400,10,948600
#SHF1010,2025-11-09 14:14:11,paid,CAOSTU,Quần short thể thao,CAO-4049,3,198000,0,0,594000
#SHF1010,2025-11-09 14:14:11,paid,HIGHCHIC,Đầm bodycon ôm dáng,HIG-7418,3,723000,325350,15,1843650
#SHF1011,2025-11-09 19:48:49,paid,FNOS,Giày loafer da bò,FNO-9603,3,381000,57150,5,1085850
#SHF1012,2025-11-10 18:44:35,paid,PARADOX,Bomber jacket olive,PAR-4071,1,1011000,0,0,1011000
#SHF1012,2025-11-10 18:44:35,paid,HIGHCHIC,Áo blouse lụa tay dài,HIG-9554,1,1105000,221000,20,884000
#SHF1013,2025-11-12 00:51:40,paid,CAOSTU,Áo khoác dù basic,CAO-7320,3,356000,0,0,1068000
#SHF1013,2025-11-12 00:51:40,paid,FNOS,Sneaker trắng basic,FNO-2184,1,538000,0,0,538000
#SHF1013,2025-11-12 00:51:40,paid,HIGHCHIC,Đầm maxi floral,HIG-7764,3,807000,0,0,2421000
